Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website
MacDowell Colony Fellowship,MacDowell Colony,fellowship,"Architecture, Creative Practice, Arts",Full residency + stipend,3 deadlines/year,Rolling,Yes,Prestigious residency fellowship for artists and architects. Competitive juried application.,Abrons CV (2017),https://macdowell.org
Akademie Schloss Solitude – Fellowship in Architecture,Akademie Schloss Solitude,fellowship,"Architecture, Creative Practice, International",Residency + stipend,Annual; check website,Annual,No,Prestigious international fellowship in Stuttgart for emerging architects and artists.,Abrons CV (2011–2012),https://akademie-solitude.de
Fulbright – Scholar / Specialist / Visiting Research Chair,Fulbright Program / US State Dept.,fellowship,"Architecture, Humanities, International, Engineering Education","$3,000–$25,000+",Annual; check Fulbright.org; typically October deadline,Annual,No,Multiple Fulbright tracks. Visiting Research Chair (Canada) $25K; Specialist grant for individual experts. Competitive.,"Knoblauch CV (2015, Canada Chair, McGill, $25K); Navvab CV (2013, Specialist Grant)",https://fulbright.org
Canada Council for the Arts – Prix de Rome in Architecture,Canada Council for the Arts,fellowship,"Architecture, Arts, Canada, International",Stipend + travel support,Annual; check Canada Council,Annual,No,Prestigious national juried award supporting Canadian architects for international research travel.,"Thün/Velikov/Ripley CV (2009, RVTR)",https://canadacouncil.ca
Canada Council for the Arts – Venice Biennale Support,Canada Council for the Arts,grant,"Architecture, Exhibition, International, Venice",Exhibition support + stipend,Biennial; check Canada Council ahead of Venice Biennale,Biennial,No,Support for Canadian representation at the Venice Architecture Biennale. Competitive juried selection.,"Thün/Velikov CV (2015, EXTRACTION); Velikov CV (2015)",https://canadacouncil.ca
Willard A. Oberdick Fellowship – Taubman College,"Taubman College, University of Michigan",fellowship,"Architecture, Research, Emerging Practice",Annual stipend + support,Annual; check Taubman,Annual,No,UM post-professional fellowship for emerging architects doing advanced research at Taubman.,Hwang CV (2010–2011); Newell CV (2009–2010); Kutil CV; Wilcox CV (1999–2000 Muschenheim/Oberdick),https://taubmancollege.umich.edu
William Muschenheim Fellowship – Taubman College,"Taubman College, University of Michigan",fellowship,"Architecture, Research, Creative Practice",Annual stipend,Annual; check Taubman,Annual,No,Taubman fellowship for research-based architectural practice. Predecessor to Oberdick fellowship.,Trandafirescu CV (2005–2006); Newell CV (2009–2010 William Muschenheim),https://taubmancollege.umich.edu
Peter Reyner Banham Fellowship – UB Buffalo,University at Buffalo School of Architecture and Planning,fellowship,"Architecture, Research, History, Technology",Fellowship + stipend,Annual; check UB Architecture,Annual,No,Buffalo fellowship honoring Banham's legacy at intersection of technology and architecture culture.,Kutil CV (2019–2020); Navvab CV (2001–2002 Reyner Banham Fellow),https://ap.buffalo.edu
Walter B. Sanders Fellowship – Taubman College,"Taubman College, University of Michigan",fellowship,"Architecture, Visiting Faculty, Research",Visiting assistant professor appointment + stipend,Annual; check Taubman,Annual,No,Taubman visiting fellowship for emerging architecture academics.,Borum CV (1996–1997); von Bülow CV (2007–2008),https://taubmancollege.umich.edu
NCARB Scholars Program,National Council of Architectural Registration Boards,fellowship,"Architecture, Education, Practice, Future of Practice",Stipend + research support,Annual; check NCARB website,Annual,No,Supports architectural educators exploring the future of academia and practice.,Multiple CVs (Nanda noted as NCARB Scholar 2021),https://ncarb.org
Hambidge Center – Distinguished Fellowship,Hambidge Center for Creative Arts and Sciences,fellowship,"Architecture, Arts, Creative Practice, Writing",Residency + stipend,Annual; check Hambidge Center,Annual,No,Residency fellowship in the Blue Ridge Mountains for creative and research practice.,Wilkins CV (2015),https://hambidge.org
Center for Conscious Cities – Lighthouse Fellowship,Center for Conscious Cities,fellowship,"Architecture, Urban, Consciousness, Brain, Design",Fellowship + program,Annual; check CCC website,Annual,No,"Fellowship supporting research at intersection of cities, consciousness and human experience.",Nanda CV (2024),https://consciouscities.org
Cornell AAP – Robert James Eidlitz Fellowship,"Cornell University College of Architecture, Art, and Planning",fellowship,"Architecture, Research, History, Materials",Fellowship stipend,Annual; check Cornell AAP,Annual,No,Cornell fellowship supporting architectural research.,Multiple CVs (2022–2023),https://aap.cornell.edu
Pietro Belluschi Distinguished Professorship – U of Oregon,University of Oregon College of Design,fellowship,"Architecture, Diversity, Spatial Justice, Visiting",Visiting professorship + stipend,Periodic; contact U of Oregon,Periodic,No,Distinguished visiting professor appointment with emphasis on spatial justice and community design.,Wilkins CV (2019–2021),https://design.uoregon.edu
Visiting Maxfield Scholar – Miami University Ohio,Miami University (Ohio),fellowship,"Architecture, Art, Visiting Scholarship",Stipend + residency,Annual; check Miami University Ohio,Annual,No,Visiting scholar program at Miami University Ohio.,Sirota CV (2023–2024),https://miamioh.edu
Weiser Center for Europe and Eurasia – Fellow,"Weiser Center for Europe and Eurasia, University of Michigan",fellowship,"Architecture, Eastern Europe, International Research",Fellowship + access,Annual; check WCEE,Annual,No,UM center fellowship for research connected to Europe and Eurasia.,"Vatandoost CV (2019–2020, Fulbright Visiting Scholar); Vatandoost CV (2022, WCEE Scholars at Risk)",https://ii.umich.edu/wcee
Scholars at Risk (SAR) Fellowship – WCEE/UM,"Scholars at Risk / Weiser Center, University of Michigan",fellowship,"Architecture, International, Academic Freedom",Fellowship + host institution support,Rolling; check Scholars at Risk network,Rolling,Yes,Protection and hosting fellowship for scholars at risk internationally. UM has active host program.,"Vatandoost CV (2022, WCEE SAR Fellow)",https://scholarsatrisk.org
Carr Center Fellowship – Arts League of Michigan,Arts League of Michigan / The Carr Center,fellowship,"Architecture, Arts, Detroit, Community",Fellowship + stipend,Annual; check Arts League of Michigan,Annual,No,Detroit-based arts fellowship supporting creative practice and community arts.,Halquist CV (2014),https://artsleague.org
Izolyatsia Foundation – International Residency,Izolyatsia Foundation,residency,"Architecture, Arts, Ukraine, International",Residency + stipend,Annual; check Izolyatsia Foundation,Annual,No,Ukrainian arts foundation supporting international residencies and public scholarship.,Wilson CV (Izolyatsia Foundation Kiev),https://izolyatsia.org
Stanford Art Institute / Stanford Arts Fellowship,Stanford University,fellowship,"Architecture, Arts, Visiting",Visiting associate professorship + stipend,Annual; check Stanford Arts Institute,Annual,No,Visiting faculty fellowship at Stanford for artists and architects.,"Wilson CV (2016–2017, Fellow + Visiting Associate Professor)",https://arts.stanford.edu
Smithsonian Cooper-Hewitt – National Design Award (Design Mind),Smithsonian Cooper-Hewitt National Design Museum,award,"Architecture, Design, Community, Social Impact",Award + recognition,Annual nominations (by nomination only),Annual,No,Prestigious national design award. Design Mind category recognizes visionary design thinking. Nomination-based.,Wilkins CV (2017 Design Mind winner),https://cooperhewitt.org/national-design-awards
ACSA – Faculty Design Award,Association of Collegiate Schools of Architecture,award,"Architecture, Design, Education, Research",Award + exhibition,Annual; check ACSA; typically January deadline,Annual,No,Peer-reviewed award recognizing outstanding faculty design and design-research work.,"Sirota CV (2016); Thün/Velikov CV (2012, 2014, 2015, 2020); Wilcox CV (2011); Sanchez CV (Block'hood)",https://acsa-arch.org
ACSA – Collaborative Practice Award,Association of Collegiate Schools of Architecture,award,"Architecture, Collaboration, Practice, Education",Award + recognition,Annual; check ACSA,Annual,No,Recognizes outstanding collaborative practice models in architecture education.,Wilkins CV (2008),https://acsa-arch.org
ACSA – Architecture Education Awards (Research Contribution),Association of Collegiate Schools of Architecture,award,"Architecture, Education, Scholarship, Research",Award + recognition,Annual; check ACSA,Annual,No,"Multiple ACSA award tracks including TAD Research Contribution, Latitudo Borealis etc.","Thün CV (2020, TAD Research Contribution); Velikov CV (2020 AIA/ACSA Housing Design Education)",https://acsa-arch.org
EDRA – Certificate of Research Excellence (CORE),Environmental Design Research Association,award,"Architecture, Research, Health, Environment",Certificate + recognition,Annual; check EDRA.org,Annual,No,Award for practice-based research balancing rigor and real-world impact in environmental design.,"Nanda CV (6 COREs: 2016, 2021 x2, 2022 x2)",https://edra.org
EDRA – Great Places Award,Environmental Design Research Association,award,"Architecture, Place, Community, Urban",Award + recognition,Annual; check EDRA,Annual,No,EDRA award for outstanding place-making and place-based design research.,"Kutil CV (2022, Black Bottom Street View)",https://edra.org
Center for Health Design – EBD Touchstone Award (Platinum),Center for Health Design,award,"Architecture, Health, Evidence-Based Design, Research",Platinum award + recognition,Annual; check healthdesign.org,Annual,No,Top-tier award demonstrating demonstrated link between built environment and health outcomes.,"Nanda CV (2022, ProMedica Generations Tower; 2022, UC San Diego North Torrey Pines)",https://healthdesign.org
ASID – Outcome of Design Award,American Society of Interior Designers Foundation,award,"Architecture, Interior Design, Research, Health",Award + recognition,Annual; check ASID,Annual,No,ASID award recognizing projects with measurable design outcomes.,Nanda CV (2022 x2),https://asid.org
"AIA – Design Awards (National, Michigan, Detroit, Huron Valley)",American Institute of Architects,award,"Architecture, Design, Practice, Building",Award + recognition,Annual; check AIA chapters,Annual,No,"Multiple AIA award tracks at national, state, and local levels. Most categories open to all licensed architects.","Borum/Maigret CV (multiple AIA Michigan, AIA Detroit); Trandafirescu CV (AIA Huron Valley); Unverzagt CV (AIA Detroit)",https://aia.org
AIA/ACSA Practice + Leadership Award,AIA / Association of Collegiate Schools of Architecture,award,"Architecture, Education, Practice, Leadership",Award + jury role,Annual; check AIA/ACSA,Annual,No,"Joint award recognizing highly effective teaching, scholarship, and outreach in professional practice.","Hwang CV (2025, juror)",https://acsa-arch.org
SARA – National Design Award,Society of American Registered Architects,award,"Architecture, Design, Practice, Building",Award + recognition,Annual; check SARA national and NY chapter,Annual,No,SARA national design awards with multiple categories. Both NY and National chapter awards.,"Borum/Maigret CV (2019, 2022, 2023 multiple SARA awards, St Mary Chapel, Marygrove)",https://sara-national.org
Mies Crown Hall Americas Prize (MCHAP) – Emerging Architecture,Illinois Institute of Technology (IIT),prize,"Architecture, Design, Americas, Emerging Practice",Prize + exhibition,Biennial; check MCHAP/IIT,Biennial,No,"Biennial prize for the best emerging architecture in the Americas. Nomination-based, highly competitive.","Abrons/T+E+A+M CV (2024, Northwood ADU, selected nominee); Lui/Future Firm CV (2024, Hem House)",https://mcap.iit.edu
The Architect's Newspaper – Best of Design Award,The Architect's Newspaper,award,"Architecture, Design, Practice, Interiors",Award + feature,Annual; check archpaper.com,Annual,No,Annual awards across multiple categories. Both jury and editors pick awards.,Abrons/T+E+A+M CV (2017–2019); Unverzagt/M1DTW CV (2024 LSC-O); Borum/Maigret CV (2021); Maigret CV (2023 Top 50),https://archpaper.com
Architizer A+ Awards,Architizer,award,"Architecture, Design, Practice",Award + recognition,Annual; check Architizer.com,Annual,No,Major annual architecture awards program with Jury and Popular Choice tracks.,"Thün/Velikov CV (2013, Resonant Chamber Jury + Popular Choice)",https://architizer.com/awards
AZ Awards – Social Good / Design Research,Azure Magazine,award,"Architecture, Social Design, Research, Canada",Award + feature,Annual; check Azure Magazine,Annual,No,Canadian design awards with Social Good category. Open to international projects.,"Thün/Velikov CV (2017, EXTRACTION winner)",https://azuremagazine.com
Royal Architectural Institute of Canada – Award of Excellence,Royal Architectural Institute of Canada (RAIC),award,"Architecture, Design, Canada, Innovation",Award + recognition,Annual; check RAIC.org,Annual,No,Top Canadian architecture award for excellence in design and innovation.,Thün/Velikov/RVTR CV (2011),https://raic.org
Journal of Architectural Education – Best Design as Scholarship Award,Journal of Architectural Education / ACSA,award,"Architecture, Scholarship, Design, Publication",Award + recognition,Annual peer review,Annual,No,Recognizes the best design-as-scholarship article published in JAE each year.,Thün/Velikov CV (2013); Ng CV (Faculty Design Award Honorable Mention),https://tandfonline.com/toc/rjae20
Progressive Architecture / Architect Magazine – R&D Award,Architect Magazine,award,"Architecture, Research, Materials, Technology",Award + feature,Annual; check Architect Magazine,Annual,No,Award for innovative applied architecture research. Long history as 'PA Award.',"Thün/Velikov CV (2010, North House Award of Excellence; 2016 HM); Borum CV (2011 Storm Glass; 2010 Shadow Pavilion); Trandafirescu CV (2014 C_LITH)",https://architectmagazine.com
AIA / AAF Scholarship for First Professional Degree Candidates,American Institute of Architects Foundation,fellowship,"Architecture, Graduate Education, First Professional Degree","$2,000–$5,000",Annual; check AIA/AAF,Annual,No,Scholarship for students in accredited first professional degree programs. Faculty can mentor nominees.,"Fure CV (2005, $2K); Abrons CV (2005, James Petit Memorial version)",https://aia.org/education
American Landscape Association – Bradford Williams Medal,American Landscape Association,award,"Architecture, Landscape, Writing, Publications",Medal + recognition,Annual; check ALA,Annual,No,Award for outstanding writing on landscape and architecture.,Wilkins CV (2020),https://www.asla.org
ACADIA – Faculty Design Award / Emerging Research Award,Association for Computer Aided Design in Architecture,award,"Architecture, Digital Design, Computation, Fabrication",Award + conference,Annual; check ACADIA conference,Annual,No,"ACADIA awards for faculty design, research, and emerging practice in computational architecture.","Sanchez CV (2015 Emerging Research, Block'hood); Ng CV (Faculty Design HM, Robotic Needle Felting)",https://acadia.org
IESNA – International Illumination Design Award,Illuminating Engineering Society of North America,award,"Architecture, Lighting, Environmental Design",Award + recognition,Annual; check IESNA,Annual,No,International awards for outstanding illumination and lighting design. Multiple award levels.,Navvab CV (multiple IESNA Edwin F. Guth Memorial Awards 1989–1999); Borum/Maigret CV (2019 IES Award of Merit),https://ies.org
Donna M. Salzer Award for Teaching Excellence – Taubman,"Taubman College, University of Michigan",award,"Architecture, Teaching, Excellence",Award + recognition,Annual; nominated by graduating students,Annual,No,Taubman College teaching award given by graduating students. Prestigious internal recognition.,"Gilpin CV (multiple: 2007, 2009, 2012, 2014, 2016, 2019); Maigret CV (2022)",https://taubmancollege.umich.edu
Ragdale Foundation – Adrian Smith Prize / Ring Competition,Ragdale Foundation,prize,"Architecture, Landscape Installation, Competition",Prize + fabrication budget,Annual/biennial; check Ragdale Foundation,Annual,No,Landscape ring installation competition with cash prize. Open to emerging architects.,"Moran/T+E+A+M CV (2016–2017, Living Picture winner); Fure CV (2017 winner)",https://ragdale.org
CIC Academic Leadership Fellow,Committee on Institutional Cooperation / Big Ten Academic Alliance,fellowship,"Architecture, Academic Administration, Leadership",Fellowship + program,Annual; check Big Ten Academic Alliance,Annual,No,Leadership development fellowship for mid-career academic administrators at Big Ten universities.,Haar CV (2010–2011 CIC Fellow); Velikov CV (2022–2023 Academic Leadership Program Fellow),https://btaa.org
APA National Planning Award – Best Article,American Planning Association,award,"Urban Planning, Architecture, Research, Policy",Award + recognition,Annual; check APA,Annual,No,APA award for best article in JAPA on planning topics including sustainability and equity.,"Campbell CV (1997, Green Cities Growing Cities Just Cities)",https://planning.org
Mellon Postdoctoral Fellowship in the Humanities,Mellon Foundation / Various universities,fellowship,"Architecture, Humanities, Postdoctoral Research","$50,000–$60,000",Annual; check consortium universities,Annual,No,Prestigious postdoctoral fellowship for humanities scholars. Offered at many research universities.,"Wilson CV (2003–2005, U of Illinois Urbana-Champaign)",https://mellon.org
Whiting Humanities Fellowship,Whiting Foundation,fellowship,"Architecture, Humanities, Dissertation, Writing",Fellowship + stipend,Annual; check Whiting Foundation,Annual,No,Prestigious fellowship for doctoral students in humanities disciplines.,"Wilson CV (2001, Harvard)",https://whiting.org
Aga Khan Foundation – Summer Research Fellowship,Aga Khan Foundation,fellowship,"Architecture, International, Islamic Architecture, History",Summer stipend,Annual; check Aga Khan programs,Annual,No,Fellowship supporting research on Islamic architecture and built environment.,"Wilson CV (1988, Bosnia-Herzegovina research)",https://akdn.org
DAAD – German Academic Exchange Service Fellowship,DAAD,fellowship,"Architecture, Germany, International, Exchange",Stipend + support,Annual; check DAAD,Annual,No,German government fellowship for US academics to conduct research in Germany.,"Campbell CV (1986–1987, Berlin); Navvab CV (2012 Visiting Scholar Fraunhofer)",https://daad.de
Fulbright Specialist Grant in Engineering Education,Fulbright Program / US State Dept.,fellowship,"Architecture, Engineering Education, International",Specialist grant + travel,Rolling; apply to Fulbright Specialist Roster,Rolling,Yes,Short-term specialist grants for US academics to partner with overseas institutions. Roster-based system.,Navvab CV (2013),https://fulbrightspecialist.org
Forbes Magazine – Top Residential Architects,Forbes Magazine,award,"Architecture, Residential Design, Practice",Recognition + feature,Annual; by Forbes editorial selection,Annual,No,Forbes annual list recognizing top residential architecture practices in the US.,Borum/PLY+ CV (2024),https://forbes.com
University of Detroit Mercy – Alumni of the Year (Architecture),University of Detroit Mercy,award,"Architecture, Alumni, Community, Detroit",Award + recognition,Annual nominations,Annual,No,Annual alumni recognition for outstanding contributions to architecture.,Wilkins CV (2023),https://udmercy.edu
MLK Spirit Award – University of Michigan,University of Michigan,award,"Architecture, Community, Social Justice, Service",Award + recognition,Annual nominations,Annual,No,UM award for faculty/staff embodying Dr. King's legacy through scholarship and community service.,Wilkins CV (2021); Grengs CV (2021 North Campus MLK Spirit Award),https://umich.edu/mlk
Faculty Excellence Award – Taubman College,"Taubman College, University of Michigan",award,"Architecture, Teaching, Service, Excellence",Award + recognition,Annual; nominated internally,Annual,No,Taubman College internal recognition for outstanding teaching and service.,Grengs CV (2021–2022),https://taubmancollege.umich.edu
Claudia Joan Alexander Trailblazer Award – WISE,"Women in Science and Engineering (WISE), University of Michigan",award,"Architecture, Diversity, Women, STEM",Award + recognition,Annual; check WISE program,Annual,No,"UM award recognizing women who advance excellence and equity in science, technology and design.",Hwang CV (2024),https://wise.umich.edu
ACADA Society Award for Leadership,Association for Computer Aided Design in Architecture (ACADIA),award,"Architecture, Computation, Leadership, Community",Award + recognition,Annual; check ACADIA,Annual,No,ACADIA award for leadership in the computational design community.,Velikov CV (2023),https://acadia.org
RTKL Worldwise Fellow,RTKL Associates Architects,fellowship,"Architecture, Practice, Emerging Professional",Fellowship + stipend,Annual; check RTKL/Arcadis,Annual,No,Industry fellowship for emerging architecture professionals.,Kinder CV (2004–2005),https://arcadis.com
Isokyatsia / Canadian Centre for Architecture – Research Grant,Canadian Centre for Architecture (CCA),grant,"Architecture, History, Archives, Canada","$2,000",Annual; check CCA.qc.ca,Annual,No,Collection access and research grants for scholars working with CCA holdings.,"Knoblauch CV (2010, $2K); Wilson CV (1997, Doctoral Fellow CCA)",https://cca.qc.ca
SXSW Eco – Place by Design Award,SXSW Eco,award,"Architecture, Urban, Ecology, Innovation, Installation",Award + presentation slot,Annual; check SXSW Eco,Annual,No,Award for innovative place-based design at SXSW Eco conference.,"Sirota CV (2015, The Mothership)",https://sxsw.com/eco
Detroit Metro Times – METRO Award (Design/Architecture),Metro Times Detroit,award,"Architecture, Design, Detroit, Community",Award + recognition,Annual; reader-nominated,Annual,No,Detroit alternative media awards for community-centered design practice.,Multiple Detroit-based faculty,https://metrotimes.com
NSF – Consortium-Based Stacked Mentorship,National Science Foundation,federal,"Architecture, Education, Equity","$100,000",Check NSF.gov for current deadlines,Annual,No,"Supports inter-institutional research capacity, access, and collaboration through consortium-based mentorship models.",Hwang CV (granted 2024),https://www.nsf.gov
Rackham Faculty & Student Ally Grant,"Rackham Graduate School, University of Michigan",internal,"Research, Education, Equity, Architecture","$5,000–$25,000",Rolling; check Rackham website,Annual,Yes,UM internal funding supporting faculty-student collaborative research and equity initiatives.,Hwang CV (multiple awards 2020–2024),https://rackham.umich.edu
UM Arts Initiative – Creative Fellows Grant,University of Michigan Arts Initiative,internal,"Arts, Architecture, Interdisciplinary","$19,111 (example)",Annual cycle; check Arts Initiative website,Annual,No,UM internal grant supporting interdisciplinary arts-integrated teaching and research projects.,"Hwang CV (Art and Anatomy, granted 2022)",https://artsinitiative.umich.edu
PEFF – Public Engagement Faculty Fellowship,"Center for Academic Innovation / OVPR, University of Michigan",internal,"Research, Public Engagement, Architecture",Fellowship stipend + support,Annual cycle; check OVPR website,Annual,No,UM fellowship for faculty engaged in publicly impactful scholarship and community-facing research.,Hwang CV (PEFF Fellow 2022),https://research.umich.edu
CRLT Faculty Development Fund,"Center for Research, Learning & Teaching, University of Michigan",internal,"Teaching, Research, Architecture, Education","$1,000–$10,000",Annual cycle; check CRLT website,Annual,No,UM internal grants supporting faculty development in pedagogy and course innovation.,Hwang CV (multiple awards 2019–2022),https://crlt.umich.edu
LEO Professional Development Fund,"Lecturers' Employee Organization, University of Michigan",internal,"Teaching, Professional Development","$412–$2,000",Annual cycle; check LEO website,Annual,No,UM internal fund for lecturers to support professional development activities.,Hwang CV (multiple awards 2020–2022),https://www.leounion.org
Institute for the Humanities Fellowship,"LSA Institute for the Humanities, University of Michigan",internal,"Humanities, Architecture, Research","$6,000",Annual; typically fall deadline,Annual,No,UM summer fellowship supporting humanities research projects with interdisciplinary impact.,"Hwang CV (Pivotal Constructions, granted 2021)",https://lsa.umich.edu/humanities
Gilbert A. Whitaker Fund,"CRLT / Gilbert Whitaker Fund, University of Michigan",internal,"Leadership, Architecture, Teaching","$10,000",Annual cycle; check CRLT website,Annual,No,UM internal grant supporting leadership and teaching initiatives in professional and design education.,"Hwang CV (Leadership in Architecture, granted 2019)",https://crlt.umich.edu
Ginsberg Community-Driven Grant,"Edward Ginsberg Center, University of Michigan",internal,"Community Engagement, Design, Planning","$2,500",Annual RFP; check Ginsberg Center,Annual,No,UM grant supporting community-engaged projects and public design initiatives.,"Hwang CV (U-M Public Design Corps, granted 2021)",https://ginsberg.umich.edu
MSI Collaboration & Implementation Grant,University of Michigan,internal,"Architecture, Education, Equity, Consortium","$30,000",Annual; check OVPR,Annual,No,UM grant supporting multi-institutional collaboration and implementation of equity-focused education programs.,"Hwang CV (EAEC initial funding, granted 2019)",https://research.umich.edu
NCARB Scholars Program,National Council of Architectural Registration Boards,grant,"Architecture, Education, Practice",Stipend + research support,Annual; check NCARB website,Annual,No,Supports architectural educators exploring the future of academia and practice.,Hwang CV (NCARB Scholar 2021),https://www.ncarb.org
Experimental Learning Fund (ELF),University of Michigan,internal,"Architecture, Travel, Education","$6,000–$10,000",Annual; check Provost office,Annual,No,UM fund supporting experimental and travel-based learning studios and courses.,"Hwang CV (Architectural Arbitrage $10K + Tokyo $6K, 2011–12)",https://ii.umich.edu
NSF CIVIC-FA – Civic Innovation & Technology,National Science Foundation,federal,"Urban Technology, Design, Community","$1,000,000",Check NSF.gov for current solicitation,Annual,No,NSF federal grant supporting civic-facing innovation projects with community and technology dimensions.,"Wizinsky CV (Rehab for America, Senior Personnel, 2025–26)",https://www.nsf.gov
Humanities Without Walls – Mellon Foundation,Andrew W. Mellon Foundation / Big Ten Academic Alliance,grant,"Humanities, Design, Public History, Health","$110,000",Check Humanities Without Walls consortium,Varies,No,Consortium grant supporting collaborative humanities research across Big Ten institutions.,"Wizinsky CV (Transmedia Collage, $110K, 2018–19)",https://www.mellon.org
MAC Cosmetics AIDS Fund,MAC Cosmetics / Viva Glam,grant,"Health, Design, Public History","$70,000",By invitation / check MAC AIDS Fund,Varies,No,Philanthropic grant supporting HIV/AIDS public health and awareness projects.,"Wizinsky CV (Women and HIV oral history, $70K, 2016–18)",https://www.maccosmetics.com/viva-glam
Nathan Cummings Foundation Grant,Nathan Cummings Foundation,grant,"Health, Design, Community","$5,000",Check foundation website,Varies,No,Supports arts and design projects addressing social justice and public health.,"Wizinsky CV (Women and HIV oral history, $5K, 2015)",https://www.nathancummings.org
People's Liberty Foundation Grant,People's Liberty,grant,"Design, Community, Social Justice","$7,500",Annual; check People's Liberty website,Annual,No,Cincinnati-based philanthropic grant supporting community-engaged design and social justice projects.,"Wizinsky CV (Women of Color / Justice project, $7,500, 2018)",https://www.peoplesliberty.org
Exhibit Columbus University Design Research Fellowship,Exhibit Columbus,fellowship,"Architecture, Urban Design, Research","$10,000",Annual; check Exhibit Columbus,Annual,No,"Fellowship supporting design research projects exhibited in Columbus, IN as part of the biennial.","Wizinsky CV (The Long Now, $10K, 2018–19)",https://www.exhibitcolumbus.org
Andrew W. Mellon Foundation – Digital Scholarship,Andrew W. Mellon Foundation,grant,"Digital Humanities, Design, Research","$900,000 (institutional); varies individually",By invitation; check foundation,Varies,No,Supports digital humanities infrastructure and scholarship at research universities.,"Wizinsky CV (UC Digital Scholarship Center, $900K institutional, 2018–20)",https://www.mellon.org
UC / UM Digital Humanities & Scholarship Grant,University Digital Humanities Center (UC or UM),internal,"Digital Humanities, Design, Research","$10,000",Annual; check institution's DH center,Annual,No,Internal university grant supporting digital humanities and design scholarship projects.,"Wizinsky CV (Community archives, $10K, 2019–20)",https://www.digitalhumanities.org
Provost's Office Research Grant (University of Cincinnati),"Office of the Provost, University of Cincinnati",internal,"Design, Research, Urban Futures","$7,500–$20,000",Annual; check Provost office,Annual,No,Internal UC competitive grant supporting faculty research projects and exhibitions.,Wizinsky CV (multiple awards 2017–18),https://www.uc.edu/provost.html
Stamps School Seed Grant – Discursive Design,University of Michigan Stamps School of Art & Design,internal,"Design, Research, Database","$15,000",Annual; check Stamps School,Annual,No,UM internal seed grant for design research initiatives including databases and publications.,"Wizinsky CV (Discursive design database, $15K, 2016–18)",https://stamps.umich.edu
Robert Wood Johnson Foundation – Land Use & Health Equity,Robert Wood Johnson Foundation,grant,"Architecture, Planning, Health Equity, Land Use","$250,000",Letter of intent; check RWJF website,Annual,No,Grant reimagining land use and zoning policy for community health equity; supports community land trust models.,"Cuéllar CV (LOI selected, $250K requested, 2025)",https://www.rwjf.org
SOM Foundation Research Prize,SOM Foundation,grant,"Architecture, Urban Design, Housing","$40,000",Annual; check SOM Foundation website,Annual,No,"Supports design research advancing housing justice, new housing typologies, and zoning reform.","Cuéllar CV ($40K awarded, 2024)",https://www.somfoundation.com
Lincoln Institute of Land Policy – Food Systems Grant,Lincoln Institute of Land Policy,grant,"Planning, Land Policy, Food Systems, Architecture","$10,000",Annual; check Lincoln Institute,Annual,No,"Supports research and design at the intersection of land policy, food systems, and territorial conflict.","Cuéllar CV ($10K awarded, 2022)",https://www.lincolninst.edu
Columbia GSAPP Buell Center Course Development Prize,Columbia University GSAPP / Buell Center,grant,"Architecture, Climate, Education","$10,000",Annual; check Buell Center,Annual,No,Supports development of innovative architecture courses addressing climate change and society.,"Cuéllar CV ($10K awarded, 2020)",https://www.arch.columbia.edu/research-labs-centers/4-buell-center
AIA Research Grant,American Institute of Architects,grant,"Architecture, History, Community","$2,000",Annual; check AIA website,Annual,No,AIA chapter-level research grant supporting architectural history and community-focused design research.,"Cuéllar CV (Freedmen Churches, $2K, 2014)",https://www.aia.org
Taubman College – Pressing Matters Grant,"Taubman College of Architecture and Urban Planning, UM",internal,"Architecture, Housing, Equity, Urban Design","$4,750–$20,000",Annual; check Taubman College,Annual,No,Internal Taubman grant supporting pressing research questions in architecture and urban planning.,"Cuéllar CV (Community Land Trusts, 2023–24); Morcillo Pallares CV (multiple 2022–24)",https://taubmancollege.umich.edu
Taubman College – OVPR Research Catalyst Award,"Office of VP for Research / Taubman College, UM",internal,"Architecture, Design, Community, Gaming","$15,000",Annual competitive cycle; check OVPR,Annual,No,UM internal award supporting innovative design research with community impact.,"Cuéllar CV (In Place We Trust game, $15K, 2024–25)",https://research.umich.edu
Taubman College – TVLab Fund for Experimental Inquiry,"Taubman College Visualization Lab, UM",internal,"Architecture, Visualization, Technology","$5,000",Annual; check Taubman College,Annual,No,Internal UM fund supporting experimental visualization and immersive technology research.,"Cuéllar CV (Perception and Legal Geography, 2023–24); Morcillo Pallares CV (2024)",https://taubmancollege.umich.edu
Taubman College – Seed Grant,"Taubman College of Architecture and Urban Planning, UM",internal,"Architecture, Technology, Research","$5,000",Annual; check Taubman College,Annual,No,Small seed grants for emerging research in architecture and urban planning.,"Cuéllar CV (Mixed-Reality Models, 2023–24)",https://taubmancollege.umich.edu
National Center for Institutional Diversity – Anti-Racism Fellowship,University of Michigan NCID,internal,"Architecture, Equity, Indigenous Knowledge, Research","$22,500",Annual; check NCID website,Annual,No,UM fellowship supporting faculty research at the intersection of anti-racism and community-engaged design.,"Cuéllar CV (Watershed Resurgence, 2024–25)",https://ncid.umich.edu
