Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website,Apply Link,Duplicate Entries Merged
NextCycle Michigan – Recycling Innovation Track / Technology Translation,NextCycle Michigan / EGLE,grant,"Architecture, Materials, Circular Economy, Sustainability","$10,000–$250,000",Annual RFP; check NextCycle Michigan,Annual,No,Michigan state program funding circular economy and materials innovation research. Multiple tiers.,"Miller/Moran/Humphrey CV (2022–2026, multiple grants $10K–$250K)",https://nextcycle.com,https://nextcyclemichigan.com/funding/,1
Guardian / Taubman Research Alliance,Guardian Industries / University of Michigan,grant,"Architecture, Glass, Health, Workplace","$100,000–$207,600",By invitation (industry partner),Rolling,Yes,"Industry-academic research alliance grants for glass, wellness and workplace design.","Knoblauch/Adams/Nanda CV (2019–2020, $133K–$207K)",https://guardian.com,https://research.umich.edu/funding/,1
Walton Family Foundation – Design Excellence Program,Walton Family Foundation,grant,"Architecture, Design, Northwest Arkansas",Program support,Check Walton Family Foundation; NWA focus,Rolling,Yes,Design excellence program in Northwest Arkansas supporting innovative architecture practices.,Lui/Future Firm CV (2025),https://waltonfamilyfoundation.org,https://www.waltonfamilyfoundation.org/grant-opportunities,1
Department of Labor and Economic Opportunity (LEO) – Michigan,Michigan Dept. of Labor and Economic Opportunity,grant,"Architecture, Community, Housing, Detroit","$750,000",Check MLEO grant programs,Periodic,No,Michigan state grants for community and housing resilience projects.,"Fure CV (2024–2026, Rehab for America Detroit $750K)",https://michigan.gov/leo,https://michigan.gov/leo,1
Kresge Foundation – Arts in Detroit / Literary Artist Fellowship,Kresge Foundation,fellowship,"Architecture, Arts, Detroit, Community, Writing","$25,000+",Annual; check Kresge Arts in Detroit,Annual,No,"Detroit-focused arts fellowship for artists, architects, and writers with Detroit practice.","Wilkins CV (2010, Literary Artist Fellow); multiple Detroit-based faculty",https://kresge.org/arts,https://www.kresgeartsindetroit.org/,1
Poverty Solutions Initiative – Faculty Grants,University of Michigan Poverty Solutions,internal,"Architecture, Urban Planning, Housing, Equity","$10,000–$30,000",Annual; check Poverty Solutions,Annual,No,UM initiative grants for research addressing poverty and inequality.,Kinder CV (Poverty Solutions grants multiple years),https://povertysolutions.umich.edu,https://povertysolutions.umich.edu/faculty-engagement/,1
Minneapolis Foundation – Thriving Communities Grant,Minneapolis Foundation,grant,"Urban Planning, Architecture, Community, Resilience","$100,000–$150,000",Check Minneapolis Foundation,Annual,No,Community resilience and planning grants. Connected to Great Lakes regional work.,"Gräbner CV ($100K–$150K, Minneapolis Foundation)",https://minneapolisfoundation.org,https://www.minneapolisfoundation.org/grants/,1
Carasso Foundation – International Research,Daniel & Nina Carasso Foundation,grant,"Urban Planning, Food Systems, International (Bolivia)","$15,000–$30,000",Check Carasso Foundation; international focus,Rolling,Yes,International grants for sustainable food systems and community research.,"Kinder CV (Bolivia research, multiple years)",https://fondationcarasso.org,https://www.fondationcarasso.org/en/call-for-projects/,1
Kellogg Foundation – Community Research Grants,W.K. Kellogg Foundation,grant,"Urban Planning, Community, Food Systems, Equity","$30,000–$100,000",Check Kellogg Foundation,Rolling,Yes,"Major foundation supporting community-centered food, health, and equity research.",Kinder CV (multiple evaluations of MSU Center for Regional Food Systems),https://wkkf.org,https://www.wkkf.org/grantseekers,1
Precast Institute Foundation – Studio Teaching Grant,Precast/Prestressed Concrete Institute Foundation,grant,"Architecture, Construction, Materials, Teaching","$75,000",Annual; check PCI Foundation,Annual,No,Grants for capstone studios and research focused on precast concrete in architecture education.,"Wilcox CV (2016, MSDT Capstone Studio $75K)",https://pci.org/foundation,https://pci.org/foundation,1
Michigan Materials Research Institute (MMRI) – Incubator Grant,"Michigan Materials Research Institute, U-M",internal,"Architecture, Materials, Research, Technology","$60,000",Annual; check MMRI,Annual,No,UM materials research incubator grants for experimental materials and fabrication research.,"Wilcox CV (2024, $60K)",https://mmri.umich.edu,https://mmri.umich.edu,1
FARO Technologies – LiDAR Equipment Sponsorship,FARO Technologies,grant,"Architecture, Technology, Digital Fabrication, LiDAR","$145,249 (equipment value)",By invitation / industry partnership,Rolling,Yes,Industry equipment sponsorship for LiDAR scanning labs and spatial research. Contact FARO for partnership.,"Adams/Gilpin CV (2025–, EIPC Scan-Lab $145K in equipment)",https://faro.com,https://www.faro.com/en-US/About-Us,1
Van Alen Institute – Design Competition / Development Stipend,Van Alen Institute,prize,"Architecture, Urban Design, Memorial, Competition","$15,000–$16,000",Check Van Alen Institute; periodic competitions,Periodic,No,Design competition and development grants for visionary urban and memorial architecture projects.,"Trandafirescu CV (2016, Memorials for the Future VOICEOVER, $15K stipend)",https://vanalen.org,https://vanalen.org/opportunities/,1
Games for Change / ACADIA – Games and Design Awards,Games for Change / ACADIA,award,"Architecture, Design, Games, Digital",Award + prizes,Annual; check Games for Change & ACADIA,Annual,No,Awards for design innovation using games. Devolver Digital publishing funds also available ($27K–$45K).,"Sanchez CV (2016, Best Gameplay Block'hood; $27K–$45K Devolver publishing funds)",https://gamesforchange.org,https://festival.gamesforchange.org/awards/,1
MacDowell Colony Fellowship,MacDowell Colony,fellowship,"Architecture, Creative Practice, Arts",Full residency + stipend,3 deadlines/year,Rolling,Yes,Prestigious residency fellowship for artists and architects. Competitive juried application.,Abrons CV (2017),https://macdowell.org,https://www.macdowell.org/apply,1
Akademie Schloss Solitude – Fellowship in Architecture,Akademie Schloss Solitude,fellowship,"Architecture, Creative Practice, International",Residency + stipend,Annual; check website,Annual,No,Prestigious international fellowship in Stuttgart for emerging architects and artists.,Abrons CV (2011–2012),https://akademie-solitude.de,https://www.akademie-solitude.de/en/fellowship/,1
Fulbright – Scholar / Specialist / Visiting Research Chair,Fulbright Program / US State Dept.,fellowship,"Architecture, Humanities, International, Engineering Education","$3,000–$25,000+",Annual; check Fulbright.org; typically October deadline,Annual,No,Multiple Fulbright tracks. Visiting Research Chair (Canada) $25K; Specialist grant for individual experts. Competitive.,"Knoblauch CV (2015, Canada Chair, McGill, $25K); Navvab CV (2013, Specialist Grant)",https://fulbright.org,https://fulbrightscholars.org/us-scholar-awards,1
Canada Council for the Arts – Prix de Rome in Architecture,Canada Council for the Arts,fellowship,"Architecture, Arts, Canada, International",Stipend + travel support,Annual; check Canada Council,Annual,No,Prestigious national juried award supporting Canadian architects for international research travel.,"Thün/Velikov/Ripley CV (2009, RVTR)",https://canadacouncil.ca,https://canadacouncil.ca/funding/prizes/prix-de-rome-in-architecture-professional,1
Canada Council for the Arts – Venice Biennale Support,Canada Council for the Arts,grant,"Architecture, Exhibition, International, Venice",Exhibition support + stipend,Biennial; check Canada Council ahead of Venice Biennale,Biennial,No,Support for Canadian representation at the Venice Architecture Biennale. Competitive juried selection.,"Thün/Velikov CV (2015, EXTRACTION); Velikov CV (2015)",https://canadacouncil.ca,https://www.labiennale.org/en/architecture,1
Willard A. Oberdick Fellowship – Taubman College,"Taubman College, University of Michigan",fellowship,"Architecture, Research, Emerging Practice",Annual stipend + support,Annual; check Taubman,Annual,No,UM post-professional fellowship for emerging architects doing advanced research at Taubman.,Hwang CV (2010–2011); Newell CV (2009–2010); Kutil CV; Wilcox CV (1999–2000 Muschenheim/Oberdick),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
William Muschenheim Fellowship – Taubman College,"Taubman College, University of Michigan",fellowship,"Architecture, Research, Creative Practice",Annual stipend,Annual; check Taubman,Annual,No,Taubman fellowship for research-based architectural practice. Predecessor to Oberdick fellowship.,Trandafirescu CV (2005–2006); Newell CV (2009–2010 William Muschenheim),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Peter Reyner Banham Fellowship – UB Buffalo,University at Buffalo School of Architecture and Planning,fellowship,"Architecture, Research, History, Technology",Fellowship + stipend,Annual; check UB Architecture,Annual,No,Buffalo fellowship honoring Banham's legacy at intersection of technology and architecture culture.,Kutil CV (2019–2020); Navvab CV (2001–2002 Reyner Banham Fellow),https://ap.buffalo.edu,https://architecture.buffalo.edu/research/fellowships-and-grants.html,1
Walter B. Sanders Fellowship – Taubman College,"Taubman College, University of Michigan",fellowship,"Architecture, Visiting Faculty, Research",Visiting assistant professor appointment + stipend,Annual; check Taubman,Annual,No,Taubman visiting fellowship for emerging architecture academics.,Borum CV (1996–1997); von Bülow CV (2007–2008),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
NCARB Scholars Program,National Council of Architectural Registration Boards,fellowship; grant,"Architecture, Education, Practice, Future of Practice; Architecture, Education, Practice",Stipend + research support,Annual; check NCARB website,Annual,No,Supports architectural educators exploring the future of academia and practice.,Multiple CVs (Nanda noted as NCARB Scholar 2021); Hwang CV (NCARB Scholar 2021),https://www.ncarb.org,https://www.ncarb.org/ncarb-scholarship-program,2
Hambidge Center – Distinguished Fellowship,Hambidge Center for Creative Arts and Sciences,fellowship,"Architecture, Arts, Creative Practice, Writing",Residency + stipend,Annual; check Hambidge Center,Annual,No,Residency fellowship in the Blue Ridge Mountains for creative and research practice.,Wilkins CV (2015),https://hambidge.org,https://www.hambidge.org/residency-program,1
Center for Conscious Cities – Lighthouse Fellowship,Center for Conscious Cities,fellowship,"Architecture, Urban, Consciousness, Brain, Design",Fellowship + program,Annual; check CCC website,Annual,No,"Fellowship supporting research at intersection of cities, consciousness and human experience.",Nanda CV (2024),https://consciouscities.org,https://www.consciouscities.org/lighthouse-fellowship,1
Cornell AAP – Robert James Eidlitz Fellowship,"Cornell University College of Architecture, Art, and Planning",fellowship,"Architecture, Research, History, Materials",Fellowship stipend,Annual; check Cornell AAP,Annual,No,Cornell fellowship supporting architectural research.,Multiple CVs (2022–2023),https://aap.cornell.edu,https://aap.cornell.edu/news-events/opportunities,1
Pietro Belluschi Distinguished Professorship – U of Oregon,University of Oregon College of Design,fellowship,"Architecture, Diversity, Spatial Justice, Visiting",Visiting professorship + stipend,Periodic; contact U of Oregon,Periodic,No,Distinguished visiting professor appointment with emphasis on spatial justice and community design.,Wilkins CV (2019–2021),https://design.uoregon.edu,https://design.uoregon.edu/academics/architecture,1
Visiting Maxfield Scholar – Miami University Ohio,Miami University (Ohio),fellowship,"Architecture, Art, Visiting Scholarship",Stipend + residency,Annual; check Miami University Ohio,Annual,No,Visiting scholar program at Miami University Ohio.,Sirota CV (2023–2024),https://miamioh.edu,https://miamioh.edu/cca/academics/architecture-design/,1
Weiser Center for Europe and Eurasia – Fellow,"Weiser Center for Europe and Eurasia, University of Michigan",fellowship,"Architecture, Eastern Europe, International Research",Fellowship + access,Annual; check WCEE,Annual,No,UM center fellowship for research connected to Europe and Eurasia.,"Vatandoost CV (2019–2020, Fulbright Visiting Scholar); Vatandoost CV (2022, WCEE Scholars at Risk)",https://ii.umich.edu/wcee,https://research.umich.edu/funding/,1
Scholars at Risk (SAR) Fellowship – WCEE/UM,"Scholars at Risk / Weiser Center, University of Michigan",fellowship,"Architecture, International, Academic Freedom",Fellowship + host institution support,Rolling; check Scholars at Risk network,Rolling,Yes,Protection and hosting fellowship for scholars at risk internationally. UM has active host program.,"Vatandoost CV (2022, WCEE SAR Fellow)",https://scholarsatrisk.org,https://research.umich.edu/funding/,1
Carr Center Fellowship – Arts League of Michigan,Arts League of Michigan / The Carr Center,fellowship,"Architecture, Arts, Detroit, Community",Fellowship + stipend,Annual; check Arts League of Michigan,Annual,No,Detroit-based arts fellowship supporting creative practice and community arts.,Halquist CV (2014),https://artsleague.org,https://www.thecarrcenter.org/programs,1
Izolyatsia Foundation – International Residency,Izolyatsia Foundation,residency,"Architecture, Arts, Ukraine, International",Residency + stipend,Annual; check Izolyatsia Foundation,Annual,No,Ukrainian arts foundation supporting international residencies and public scholarship.,Wilson CV (Izolyatsia Foundation Kiev),https://izolyatsia.org,https://izolyatsia.org/en/projects,1
Stanford Art Institute / Stanford Arts Fellowship,Stanford University,fellowship,"Architecture, Arts, Visiting",Visiting associate professorship + stipend,Annual; check Stanford Arts Institute,Annual,No,Visiting faculty fellowship at Stanford for artists and architects.,"Wilson CV (2016–2017, Fellow + Visiting Associate Professor)",https://arts.stanford.edu,https://arts.stanford.edu/opportunities/,1
Smithsonian Cooper-Hewitt – National Design Award (Design Mind),Smithsonian Cooper-Hewitt National Design Museum,award,"Architecture, Design, Community, Social Impact",Award + recognition,Annual nominations (by nomination only),Annual,No,Prestigious national design award. Design Mind category recognizes visionary design thinking. Nomination-based.,Wilkins CV (2017 Design Mind winner),https://cooperhewitt.org/national-design-awards,https://cooperhewitt.org/national-design-awards,1
ACSA – Faculty Design Award,Association of Collegiate Schools of Architecture,award; competition,"Architecture, Design, Education, Research; Architecture, Design, Education",Award + exhibition; Prize + recognition,Annual; check ACSA; typically January deadline; Annual; check ACSA site,Annual,No,Peer-reviewed faculty design award. Honorable mentions common. Miller won HM for Post Rock (2016); Thün for Infra-Eco-Logi Urbanism (2014).,"Sirota CV (2016); Thün/Velikov CV (2012, 2014, 2015, 2020); Wilcox CV (2011); Sanchez CV (Block'hood); Miller CV (2016 HM); Thün CV (2014 HM)",https://www.acsa-arch.org,https://www.acsa-arch.org/awards/faculty-design-awards/,2
ACSA – Collaborative Practice Award,Association of Collegiate Schools of Architecture,award,"Architecture, Collaboration, Practice, Education",Award + recognition,Annual; check ACSA,Annual,No,Recognizes outstanding collaborative practice models in architecture education.,Wilkins CV (2008),https://acsa-arch.org,https://www.acsa-arch.org/awards/collaborative-practice-award/,1
ACSA – Architecture Education Awards (Research Contribution),Association of Collegiate Schools of Architecture,award,"Architecture, Education, Scholarship, Research",Award + recognition,Annual; check ACSA,Annual,No,"Multiple ACSA award tracks including TAD Research Contribution, Latitudo Borealis etc.","Thün CV (2020, TAD Research Contribution); Velikov CV (2020 AIA/ACSA Housing Design Education)",https://acsa-arch.org,https://www.acsa-arch.org/awards/architecture-education-awards/,1
EDRA – Certificate of Research Excellence (CORE),Environmental Design Research Association,award,"Architecture, Research, Health, Environment",Certificate + recognition,Annual; check EDRA.org,Annual,No,Award for practice-based research balancing rigor and real-world impact in environmental design.,"Nanda CV (6 COREs: 2016, 2021 x2, 2022 x2)",https://edra.org,https://www.edra.org/page/EDRAAwards,1
EDRA – Great Places Award,Environmental Design Research Association,award,"Architecture, Place, Community, Urban",Award + recognition,Annual; check EDRA,Annual,No,EDRA award for outstanding place-making and place-based design research.,"Kutil CV (2022, Black Bottom Street View)",https://edra.org,https://www.edra.org/page/EDRAAwards,1
Center for Health Design – EBD Touchstone Award (Platinum),Center for Health Design,award,"Architecture, Health, Evidence-Based Design, Research",Platinum award + recognition,Annual; check healthdesign.org,Annual,No,Top-tier award demonstrating demonstrated link between built environment and health outcomes.,"Nanda CV (2022, ProMedica Generations Tower; 2022, UC San Diego North Torrey Pines)",https://healthdesign.org,https://www.google.com/search?q=site%3Ahealthdesign.org+%22Center+for+Health+Design+%E2%80%93+EBD+Touchstone+Award+%28Platinum%29%22+apply,1
ASID – Outcome of Design Award,American Society of Interior Designers Foundation,award,"Architecture, Interior Design, Research, Health",Award + recognition,Annual; check ASID,Annual,No,ASID award recognizing projects with measurable design outcomes.,Nanda CV (2022 x2),https://asid.org,https://www.asid.org/programs/awards,1
"AIA – Design Awards (National, Michigan, Detroit, Huron Valley)",American Institute of Architects,award,"Architecture, Design, Practice, Building",Award + recognition,Annual; check AIA chapters,Annual,No,"Multiple AIA award tracks at national, state, and local levels. Most categories open to all licensed architects.","Borum/Maigret CV (multiple AIA Michigan, AIA Detroit); Trandafirescu CV (AIA Huron Valley); Unverzagt CV (AIA Detroit)",https://aia.org,https://www.aia.org/awards,1
AIA/ACSA Practice + Leadership Award,AIA / Association of Collegiate Schools of Architecture,award,"Architecture, Education, Practice, Leadership",Award + jury role,Annual; check AIA/ACSA,Annual,No,"Joint award recognizing highly effective teaching, scholarship, and outreach in professional practice.","Hwang CV (2025, juror)",https://acsa-arch.org,https://www.acsa-arch.org/awards/,1
SARA – National Design Award,Society of American Registered Architects,award,"Architecture, Design, Practice, Building",Award + recognition,Annual; check SARA national and NY chapter,Annual,No,SARA national design awards with multiple categories. Both NY and National chapter awards.,"Borum/Maigret CV (2019, 2022, 2023 multiple SARA awards, St Mary Chapel, Marygrove)",https://sara-national.org,https://www.sara-national.org/design-awards/,1
Mies Crown Hall Americas Prize (MCHAP) – Emerging Architecture,Illinois Institute of Technology (IIT),prize,"Architecture, Design, Americas, Emerging Practice",Prize + exhibition,Biennial; check MCHAP/IIT,Biennial,No,"Biennial prize for the best emerging architecture in the Americas. Nomination-based, highly competitive.","Abrons/T+E+A+M CV (2024, Northwood ADU, selected nominee); Lui/Future Firm CV (2024, Hem House)",https://mcap.iit.edu,https://www.mchap.co/award,1
The Architect's Newspaper – Best of Design Award,The Architect's Newspaper,award,"Architecture, Design, Practice, Interiors",Award + feature,Annual; check archpaper.com,Annual,No,Annual awards across multiple categories. Both jury and editors pick awards.,Abrons/T+E+A+M CV (2017–2019); Unverzagt/M1DTW CV (2024 LSC-O); Borum/Maigret CV (2021); Maigret CV (2023 Top 50),https://archpaper.com,https://www.archpaper.com/awards-programs/,1
Architizer A+ Awards,Architizer,award,"Architecture, Design, Practice",Award + recognition,Annual; check Architizer.com,Annual,No,Major annual architecture awards program with Jury and Popular Choice tracks.,"Thün/Velikov CV (2013, Resonant Chamber Jury + Popular Choice)",https://architizer.com/awards,https://architizer.com/awards/,1
AZ Awards – Social Good / Design Research,Azure Magazine,award,"Architecture, Social Design, Research, Canada",Award + feature,Annual; check Azure Magazine,Annual,No,Canadian design awards with Social Good category. Open to international projects.,"Thün/Velikov CV (2017, EXTRACTION winner)",https://azuremagazine.com,https://www.azuremagazine.com/awards/,1
Royal Architectural Institute of Canada – Award of Excellence,Royal Architectural Institute of Canada (RAIC),award,"Architecture, Design, Canada, Innovation",Award + recognition,Annual; check RAIC.org,Annual,No,Top Canadian architecture award for excellence in design and innovation.,Thün/Velikov/RVTR CV (2011),https://raic.org,https://www.google.com/search?q=site%3Araic.org+%22Royal+Architectural+Institute+of+Canada+%E2%80%93+Award+of+Excellence%22+apply,1
Journal of Architectural Education – Best Design as Scholarship Award,Journal of Architectural Education / ACSA,award,"Architecture, Scholarship, Design, Publication",Award + recognition,Annual peer review,Annual,No,Recognizes the best design-as-scholarship article published in JAE each year.,Thün/Velikov CV (2013); Ng CV (Faculty Design Award Honorable Mention),https://tandfonline.com/toc/rjae20,https://www.tandfonline.com/toc/rjae20/current,1
Progressive Architecture / Architect Magazine – R&D Award,Architect Magazine,award,"Architecture, Research, Materials, Technology",Award + feature,Annual; check Architect Magazine,Annual,No,Award for innovative applied architecture research. Long history as 'PA Award.',"Thün/Velikov CV (2010, North House Award of Excellence; 2016 HM); Borum CV (2011 Storm Glass; 2010 Shadow Pavilion); Trandafirescu CV (2014 C_LITH)",https://architectmagazine.com,https://www.architectmagazine.com/awards/r-d-awards,1
AIA / AAF Scholarship for First Professional Degree Candidates,American Institute of Architects Foundation,fellowship,"Architecture, Graduate Education, First Professional Degree; Architecture, Education","$2,000–$5,000; $2,500–$5,000",Annual; check AIA/AAF; Typically February,Annual,No,Scholarship for students pursuing the first professional degree in architecture. Open to US architecture students in accredited programs.,"Fure CV (2005, $2K); Abrons CV (2005, James Petit Memorial version); Abrons CV (2005)",https://aia.org/education,https://www.aia.org/resources/6076-scholarships,2
American Landscape Association – Bradford Williams Medal,American Landscape Association,award,"Architecture, Landscape, Writing, Publications",Medal + recognition,Annual; check ALA,Annual,No,Award for outstanding writing on landscape and architecture.,Wilkins CV (2020),https://www.asla.org,https://www.asla.org/awards.aspx,1
ACADIA – Faculty Design Award / Emerging Research Award,Association for Computer Aided Design in Architecture,award,"Architecture, Digital Design, Computation, Fabrication",Award + conference,Annual; check ACADIA conference,Annual,No,"ACADIA awards for faculty design, research, and emerging practice in computational architecture.","Sanchez CV (2015 Emerging Research, Block'hood); Ng CV (Faculty Design HM, Robotic Needle Felting)",https://acadia.org,https://www.acadia.org/awards/,1
IESNA – International Illumination Design Award,Illuminating Engineering Society of North America,award,"Architecture, Lighting, Environmental Design",Award + recognition,Annual; check IESNA,Annual,No,International awards for outstanding illumination and lighting design. Multiple award levels.,Navvab CV (multiple IESNA Edwin F. Guth Memorial Awards 1989–1999); Borum/Maigret CV (2019 IES Award of Merit),https://ies.org,https://www.google.com/search?q=site%3Aies.org+%22IESNA+%E2%80%93+International+Illumination+Design+Award%22+apply,1
Donna M. Salzer Award for Teaching Excellence – Taubman,"Taubman College, University of Michigan",award,"Architecture, Teaching, Excellence",Award + recognition,Annual; nominated by graduating students,Annual,No,Taubman College teaching award given by graduating students. Prestigious internal recognition.,"Gilpin CV (multiple: 2007, 2009, 2012, 2014, 2016, 2019); Maigret CV (2022)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Ragdale Foundation – Adrian Smith Prize / Ring Competition,Ragdale Foundation,prize,"Architecture, Landscape Installation, Competition",Prize + fabrication budget,Annual/biennial; check Ragdale Foundation,Annual,No,Landscape ring installation competition with cash prize. Open to emerging architects.,"Moran/T+E+A+M CV (2016–2017, Living Picture winner); Fure CV (2017 winner)",https://ragdale.org,https://www.ragdale.org/apply,1
CIC Academic Leadership Fellow,Committee on Institutional Cooperation / Big Ten Academic Alliance,fellowship,"Architecture, Academic Administration, Leadership",Fellowship + program,Annual; check Big Ten Academic Alliance,Annual,No,Leadership development fellowship for mid-career academic administrators at Big Ten universities.,Haar CV (2010–2011 CIC Fellow); Velikov CV (2022–2023 Academic Leadership Program Fellow),https://btaa.org,https://btaa.org/resources-for/staff-and-leaders/academic-leadership-program,1
APA National Planning Award – Best Article,American Planning Association,award,"Urban Planning, Architecture, Research, Policy",Award + recognition,Annual; check APA,Annual,No,APA award for best article in JAPA on planning topics including sustainability and equity.,"Campbell CV (1997, Green Cities Growing Cities Just Cities)",https://planning.org,https://www.planning.org/awards/,1
Mellon Postdoctoral Fellowship in the Humanities,Mellon Foundation / Various universities,fellowship,"Architecture, Humanities, Postdoctoral Research","$50,000–$60,000",Annual; check consortium universities,Annual,No,Prestigious postdoctoral fellowship for humanities scholars. Offered at many research universities.,"Wilson CV (2003–2005, U of Illinois Urbana-Champaign)",https://mellon.org,https://www.mellon.org/grants/,1
Whiting Humanities Fellowship,Whiting Foundation,fellowship,"Architecture, Humanities, Dissertation, Writing",Fellowship + stipend,Annual; check Whiting Foundation,Annual,No,Prestigious fellowship for doctoral students in humanities disciplines.,"Wilson CV (2001, Harvard)",https://whiting.org,https://www.whiting.org/fellowships,1
Aga Khan Foundation – Summer Research Fellowship,Aga Khan Foundation,fellowship,"Architecture, International, Islamic Architecture, History",Summer stipend,Annual; check Aga Khan programs,Annual,No,Fellowship supporting research on Islamic architecture and built environment.,"Wilson CV (1988, Bosnia-Herzegovina research)",https://akdn.org,https://akdn.org/our-agencies/aga-khan-trust-culture/education/aga-khan-program-islamic-architecture,1
DAAD – German Academic Exchange Service Fellowship,DAAD,fellowship,"Architecture, Germany, International, Exchange",Stipend + support,Annual; check DAAD,Annual,No,German government fellowship for US academics to conduct research in Germany.,"Campbell CV (1986–1987, Berlin); Navvab CV (2012 Visiting Scholar Fraunhofer)",https://daad.de,https://www.daad.de/en/study-and-research-in-germany/scholarships/,1
Fulbright Specialist Grant in Engineering Education,Fulbright Program / US State Dept.,fellowship,"Architecture, Engineering Education, International",Specialist grant + travel,Rolling; apply to Fulbright Specialist Roster,Rolling,Yes,Short-term specialist grants for US academics to partner with overseas institutions. Roster-based system.,Navvab CV (2013),https://fulbrightspecialist.org,https://fulbrightspecialist.worldlearning.org/,1
Forbes Magazine – Top Residential Architects,Forbes Magazine,award,"Architecture, Residential Design, Practice",Recognition + feature,Annual; by Forbes editorial selection,Annual,No,Forbes annual list recognizing top residential architecture practices in the US.,Borum/PLY+ CV (2024),https://forbes.com,https://www.forbes.com/lists/,1
University of Detroit Mercy – Alumni of the Year (Architecture),University of Detroit Mercy,award,"Architecture, Alumni, Community, Detroit",Award + recognition,Annual nominations,Annual,No,Annual alumni recognition for outstanding contributions to architecture.,Wilkins CV (2023),https://udmercy.edu,https://architecture.udmercy.edu/alumni/,1
MLK Spirit Award – University of Michigan,University of Michigan,award,"Architecture, Community, Social Justice, Service",Award + recognition,Annual nominations,Annual,No,UM award for faculty/staff embodying Dr. King's legacy through scholarship and community service.,Wilkins CV (2021); Grengs CV (2021 North Campus MLK Spirit Award),https://umich.edu/mlk,https://oami.umich.edu/mlk-symposium/awards/,1
Faculty Excellence Award – Taubman College,"Taubman College, University of Michigan",award,"Architecture, Teaching, Service, Excellence",Award + recognition,Annual; nominated internally,Annual,No,Taubman College internal recognition for outstanding teaching and service.,Grengs CV (2021–2022),https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/faculty-staff-awards,1
Claudia Joan Alexander Trailblazer Award – WISE,"Women in Science and Engineering (WISE), University of Michigan",award,"Architecture, Diversity, Women, STEM",Award + recognition,Annual; check WISE program,Annual,No,"UM award recognizing women who advance excellence and equity in science, technology and design.",Hwang CV (2024),https://wise.umich.edu,https://wise.umich.edu/about/awards/,1
ACADA Society Award for Leadership,Association for Computer Aided Design in Architecture (ACADIA),award,"Architecture, Computation, Leadership, Community",Award + recognition,Annual; check ACADIA,Annual,No,ACADIA award for leadership in the computational design community.,Velikov CV (2023),https://acadia.org,https://www.acadia.org/awards/,1
RTKL Worldwise Fellow,RTKL Associates Architects,fellowship,"Architecture, Practice, Emerging Professional",Fellowship + stipend,Annual; check RTKL/Arcadis,Annual,No,Industry fellowship for emerging architecture professionals.,Kinder CV (2004–2005),https://arcadis.com,https://www.arcadis.com/en/careers/early-careers,1
Isokyatsia / Canadian Centre for Architecture – Research Grant,Canadian Centre for Architecture (CCA),grant,"Architecture, History, Archives, Canada","$2,000",Annual; check CCA.qc.ca,Annual,No,Collection access and research grants for scholars working with CCA holdings.,"Knoblauch CV (2010, $2K); Wilson CV (1997, Doctoral Fellow CCA)",https://cca.qc.ca,https://www.google.com/search?q=site%3Acca.qc.ca+%22Isokyatsia+%2F+Canadian+Centre+for+Architecture+%E2%80%93+Research+Grant%22+apply,1
SXSW Eco – Place by Design Award,SXSW Eco,award,"Architecture, Urban, Ecology, Innovation, Installation",Award + presentation slot,Annual; check SXSW Eco,Annual,No,Award for innovative place-based design at SXSW Eco conference.,"Sirota CV (2015, The Mothership)",https://sxsw.com/eco,https://www.sxsw.com/awards/,1
Detroit Metro Times – METRO Award (Design/Architecture),Metro Times Detroit,award,"Architecture, Design, Detroit, Community",Award + recognition,Annual; reader-nominated,Annual,No,Detroit alternative media awards for community-centered design practice.,Multiple Detroit-based faculty,https://metrotimes.com,https://www.metrotimes.com/best-of-detroit,1
NSF – Consortium-Based Stacked Mentorship,National Science Foundation,federal,"Architecture, Education, Equity","$100,000",Check NSF.gov for current deadlines,Annual,No,"Supports inter-institutional research capacity, access, and collaboration through consortium-based mentorship models.",Hwang CV (granted 2024),https://www.nsf.gov,https://new.nsf.gov/funding/opportunities,1
UM Arts Initiative – Creative Fellows Grant,University of Michigan Arts Initiative,internal,"Arts, Architecture, Interdisciplinary","$19,111 (example)",Annual cycle; check Arts Initiative website,Annual,No,UM internal grant supporting interdisciplinary arts-integrated teaching and research projects.,"Hwang CV (Art and Anatomy, granted 2022)",https://artsinitiative.umich.edu,https://artsinitiative.umich.edu/funding/,1
CRLT Faculty Development Fund,"Center for Research, Learning & Teaching, University of Michigan",internal,"Teaching, Research, Architecture, Education","$1,000–$10,000",Annual cycle; check CRLT website,Annual,No,UM internal grants supporting faculty development in pedagogy and course innovation.,Hwang CV (multiple awards 2019–2022),https://crlt.umich.edu,https://crlt.umich.edu/grants-funding,1
